site::filter,page_name::filter,page_url,content_id,id_count,row_num,,,,,
oyster,hotel.detail,https://www.oyster.com/riviera-maya/hotels/barcelo-maya-caribe/,16401,62,1,,,,,
oyster,hotel.detail,https://www.oyster.com/las-vegas/hotels/palms-casino-resort/,8228,62,1,,,,,
oyster,hotel.detail,https://www.oyster.com/curacao/hotels/sunscape-curacao-resort-spa-and-casino-curacao/,114175,62,1,,,,,
oyster,hotel.detail,https://www.oyster.com/playa-del-carmen/hotels/hotel-riu-palace-mexico/,90527,62,1,,,,,
oyster,hotel.detail,https://www.oyster.com/new-york-city/hotels/the-franklin/,100414,62,1,,,,,
oyster,hotel.detail,https://www.oyster.com/los-cabos/hotels/sandos-finisterra-los-cabos/,91769,62,1,,,,,
oyster,hotel.detail,https://www.oyster.com/cape-cod/hotels/chatham-bars-inn-resort-and-spa/,8598,62,1,,,,,
oyster,hotel.detail,https://www.oyster.com/vancouver/hotels/pan-pacific-vancouver/photos/amenities/,85778,61,1,,,,,
oyster,hotel.detail,https://www.oyster.com/maho/hotels/sonesta-maho-beach-resort-and-casino/,97183,61,1,,,,,
oyster,hotel.detail,https://www.oyster.com/kissimmee/hotels/reunion-resort/,109529,61,1,,,,,
oyster,hotel.detail,https://www.oyster.com/st-lucia/hotels/cap-maison/,34940,61,1,,,,,
oyster,hotel.detail,https://www.oyster.com/new-york-city/hotels/west-side-ymca/,112076,61,1,,,,,
oyster,hotel.detail,https://www.oyster.com/belize/hotels/turtle-inn/,100440,60,1,,,,,
oyster,hotel.detail,https://www.oyster.com/costa-rica/hotels/arenal-manoa-hotel-and-spa/,86010,60,1,,,,,
oyster,hotel.detail,https://www.oyster.com/rome/hotels/artemide-hotel/,9053,60,1,,,,,
oyster,hotel.detail,https://www.oyster.com/las-vegas/hotels/m-resort-spa-and-casino/,71077,60,1,,,,,
oyster,hotel.detail,https://www.oyster.com/miami/hotels/w-south-beach/,108027,60,1,,,,,
oyster,hotel.detail,https://www.oyster.com/connecticut/hotels/mohegan-sun/,47406,60,1,,,,,
oyster,hotel.detail,https://www.oyster.com/bermuda/hotels/pompano-beach-club/,102448,60,1,,,,,
oyster,hotel.detail,https://www.oyster.com/longboat-key/hotels/zota-beach-resort/,98598,60,1,,,,,
oyster,hotel.detail,https://www.oyster.com/hawaii/hotels/park-shore-waikiki/,107216,59,1,,,,,
oyster,hotel.detail,https://www.oyster.com/london/hotels/the-tower/,103741,59,1,,,,,
oyster,hotel.detail,https://www.oyster.com/fiji/hotels/tadrai-island-resort/,94796,59,1,,,,,
